doid_id	drugbank_id	disease	drug	category	n_curators	n_resources	piece
DOID:0050425	DB00413	restless legs syndrome	Pramipexole	SYM	3	4	3
DOID:0050741	DB00475	alcohol dependence	Chlordiazepoxide	SYM	3	1	3
DOID:0060073	DB00290	lymphatic system cancer	Bleomycin	DM	3	1	3
DOID:0060073	DB01073	lymphatic system cancer	Fludarabine	DM	3	1	3
DOID:10283	DB00126	prostate cancer	Vitamin C	DM	3	1	3
DOID:10283	DB00537	prostate cancer	Ciprofloxacin	NOT	3	1	3
DOID:10283	DB00665	prostate cancer	Nilutamide	DM	3	1	3
DOID:10283	DB00741	prostate cancer	Hydrocortisone	SYM	2	1	3
DOID:10283	DB01065	prostate cancer	Melatonin	NOT	3	1	3
DOID:10283	DB01196	prostate cancer	Estramustine	DM	3	3	3
DOID:10283	DB01216	prostate cancer	Finasteride	NOT	1	1	3
DOID:10283	DB08866	prostate cancer	Estradiol valerate/Dienogest	DM	3	1	3
DOID:10534	DB00445	stomach cancer	Epirubicin	DM	3	1	3
DOID:10534	DB00544	stomach cancer	Fluorouracil	DM	3	2	3
DOID:10534	DB01101	stomach cancer	Capecitabine	DM	3	2	3
DOID:10763	DB00310	hypertension	Chlorthalidone	DM	3	1	3
DOID:10763	DB00350	hypertension	Minoxidil	DM	1	4	3
DOID:10763	DB00373	hypertension	Timolol	DM	2	2	3
DOID:10763	DB00374	hypertension	Treprostinil	NOT	2	3	3
DOID:10763	DB00457	hypertension	Prazosin	DM	2	3	3
DOID:10763	DB00484	hypertension	Brimonidine	NOT	3	1	3
DOID:10763	DB00542	hypertension	Benazepril	DM	2	4	3
DOID:10763	DB00590	hypertension	Doxazosin	DM	2	1	3
DOID:10763	DB00594	hypertension	Amiloride	DM	2	3	3
DOID:10763	DB00622	hypertension	Nicardipine	DM	1	1	3
DOID:10763	DB00629	hypertension	Guanabenz	DM	3	1	3
DOID:10763	DB00641	hypertension	Simvastatin	NOT	3	1	3
DOID:10763	DB00653	hypertension	Magnesium Sulfate	NOT	3	1	3
DOID:10763	DB00657	hypertension	Mecamylamine	DM	1	1	3
DOID:10763	DB00678	hypertension	Losartan	DM	3	4	3
DOID:10763	DB00691	hypertension	Moexipril	DM	3	2	3
DOID:10763	DB00700	hypertension	Eplerenone	DM	2	3	3
DOID:10763	DB00722	hypertension	Lisinopril	DM	3	4	3
DOID:10763	DB00758	hypertension	Clopidogrel	NOT	3	1	3
DOID:10763	DB00765	hypertension	Metyrosine	NOT	3	1	3
DOID:10763	DB00880	hypertension	Chlorothiazide	DM	3	2	3
DOID:10763	DB00883	hypertension	Isosorbide Dinitrate	NOT	2	2	3
DOID:10763	DB00905	hypertension	Bimatoprost	NOT	2	1	3
DOID:10763	DB00988	hypertension	Dopamine	NOT	2	1	3
DOID:10763	DB00999	hypertension	Hydrochlorothiazide	DM	2	4	3
DOID:10763	DB01119	hypertension	Diazoxide	SYM	3	1	3
DOID:10763	DB01170	hypertension	Guanethidine	DM	3	1	3
DOID:10763	DB01194	hypertension	Brinzolamide	NOT	3	1	3
DOID:10763	DB01203	hypertension	Nadolol	DM	2	1	3
DOID:10763	DB01240	hypertension	Epoprostenol	NOT	3	2	3
DOID:10763	DB01346	hypertension	Quinidine barbiturate	NOT	3	1	3
DOID:1094	DB00285	attention deficit hyperactivity disorder	Venlafaxine	SYM	3	1	3
DOID:1094	DB00422	attention deficit hyperactivity disorder	Methylphenidate	SYM	3	1	3
DOID:1094	DB00540	attention deficit hyperactivity disorder	Nortriptyline	SYM	3	1	3
DOID:1094	DB01151	attention deficit hyperactivity disorder	Desipramine	SYM	3	1	3
DOID:11054	DB00544	urinary bladder cancer	Fluorouracil	DM	3	1	3
DOID:11054	DB00563	urinary bladder cancer	Methotrexate	DM	3	1	3
DOID:11054	DB00773	urinary bladder cancer	Etoposide	DM	3	1	3
DOID:11119	DB00246	Gilles de la Tourette syndrome	Ziprasidone	SYM	3	2	3
DOID:1115	DB01042	sarcoma	Melphalan	NOT	2	1	3
DOID:11476	DB00136	osteoporosis	Calcitriol	DM	3	1	3
DOID:11476	DB00630	osteoporosis	Alendronate	DM	3	2	3
DOID:11476	DB00710	osteoporosis	Ibandronate	DM	3	2	3
DOID:11476	DB01077	osteoporosis	Etidronic acid	DM	3	1	3
DOID:11612	DB00304	polycystic ovary syndrome	Desogestrel	SYM	2	1	3
DOID:11612	DB00367	polycystic ovary syndrome	Levonorgestrel	SYM	2	1	3
DOID:1192	DB00773	peripheral nervous system neoplasm	Etoposide	DM	2	1	3
DOID:12361	DB00279	Graves' disease	Liothyronine	NOT	3	1	3
DOID:12361	DB00550	Graves' disease	Propylthiouracil	DM	3	3	3
DOID:12365	DB01131	malaria	Proguanil	DM	3	1	3
DOID:12849	DB01068	autistic disorder	Clonazepam	SYM	2	1	3
DOID:12849	DB01104	autistic disorder	Sertraline	SYM	3	1	3
DOID:12849	DB01238	autistic disorder	Aripiprazole	SYM	3	3	3
DOID:12930	DB00695	dilated cardiomyopathy	Furosemide	DM	2	1	3
DOID:13189	DB00328	gout	Indomethacin	DM	1	2	3
DOID:1319	DB00773	brain cancer	Etoposide	DM	3	1	3
DOID:1319	DB00834	brain cancer	Mifepristone	NOT	3	1	3
DOID:1319	DB00853	brain cancer	Temozolomide	DM	3	1	3
DOID:1319	DB01005	brain cancer	Hydroxyurea	DM	3	1	3
DOID:1324	DB00361	lung cancer	Vinorelbine	DM	3	1	3
DOID:1324	DB00570	lung cancer	Vinblastine	DM	3	1	3
DOID:14330	DB00190	Parkinson's disease	Carbidopa	SYM	3	3	3
DOID:14330	DB00245	Parkinson's disease	Benzatropine	SYM	3	2	3
DOID:14330	DB00268	Parkinson's disease	Ropinirole	SYM	3	4	3
