drugbank_id	doid_id	disease	drug	category	n_curators	n_resources	piece
DB00014	DOID:0050156						
DB00091	DOID:0050156						
DB00104	DOID:0050156						
DB00122	DOID:0050156						
DB00126	DOID:0050156						
DB00136	DOID:0050156						
DB00153	DOID:0050156						
DB00158	DOID:0050156						
DB00163	DOID:0050156						
DB00165	DOID:0050156						
DB00169	DOID:0050156						
DB00176	DOID:0050156						
DB00177	DOID:0050156						
DB00180	DOID:0050156						
DB00181	DOID:0050156						
DB00182	DOID:0050156						
DB00184	DOID:0050156						
DB00186	DOID:0050156						
DB00187	DOID:0050156						
DB00188	DOID:0050156						
DB00190	DOID:0050156						
DB00191	DOID:0050156						
DB00193	DOID:0050156						
DB00195	DOID:0050156						
DB00203	DOID:0050156						
DB00206	DOID:0050156						
DB00214	DOID:0050156						
DB00215	DOID:0050156						
DB00216	DOID:0050156						
DB00218	DOID:0050156						
DB00221	DOID:0050156						
DB00222	DOID:0050156						
DB00224	DOID:0050156						
DB00227	DOID:0050156						
DB00230	DOID:0050156						
DB00238	DOID:0050156						
DB00241	DOID:0050156						
DB00242	DOID:0050156						
DB00244	DOID:0050156						
DB00245	DOID:0050156						
DB00246	DOID:0050156						
DB00250	DOID:0050156						
DB00252	DOID:0050156						
DB00254	DOID:0050156						
DB00258	DOID:0050156						
DB00261	DOID:0050156						
DB00262	DOID:0050156						
DB00264	DOID:0050156						
DB00268	DOID:0050156						
DB00270	DOID:0050156						
DB00273	DOID:0050156						
DB00275	DOID:0050156						
DB00277	DOID:0050156						
DB00279	DOID:0050156						
DB00281	DOID:0050156						
DB00282	DOID:0050156						
DB00284	DOID:0050156						
DB00285	DOID:0050156						
DB00286	DOID:0050156						
DB00287	DOID:0050156						
DB00289	DOID:0050156						
DB00290	DOID:0050156						
DB00291	DOID:0050156						
DB00292	DOID:0050156						
DB00295	DOID:0050156						
DB00304	DOID:0050156						
DB00305	DOID:0050156						
DB00307	DOID:0050156						
DB00310	DOID:0050156						
DB00313	DOID:0050156						
DB00315	DOID:0050156						
DB00316	DOID:0050156						
DB00320	DOID:0050156						
DB00321	DOID:0050156						
DB00322	DOID:0050156						
DB00323	DOID:0050156						
DB00325	DOID:0050156						
DB00328	DOID:0050156						
DB00331	DOID:0050156						
DB00332	DOID:0050156						
DB00334	DOID:0050156						
DB00338	DOID:0050156						
DB00341	DOID:0050156						
DB00343	DOID:0050156						
DB00347	DOID:0050156						
DB00349	DOID:0050156						
DB00350	DOID:0050156						
DB00351	DOID:0050156						
DB00352	DOID:0050156						
DB00353	DOID:0050156						
DB00359	DOID:0050156						
DB00361	DOID:0050156						
DB00363	DOID:0050156						
DB00367	DOID:0050156						
DB00373	DOID:0050156						
DB00374	DOID:0050156						
DB00376	DOID:0050156						
DB00381	DOID:0050156						
DB00387	DOID:0050156						
DB00390	DOID:0050156						
DB00394	DOID:0050156						
DB00396	DOID:0050156						
DB00397	DOID:0050156						
DB00398	DOID:0050156						
DB00399	DOID:0050156						
DB00402	DOID:0050156						
DB00404	DOID:0050156						
DB00408	DOID:0050156						
DB00410	DOID:0050156						
DB00411	DOID:0050156						
DB00412	DOID:0050156						
DB00413	DOID:0050156						
DB00417	DOID:0050156						
DB00421	DOID:0050156						
DB00422	DOID:0050156						
DB00424	DOID:0050156						
DB00425	DOID:0050156						
DB00427	DOID:0050156						
DB00428	DOID:0050156						
DB00433	DOID:0050156						
DB00434	DOID:0050156						
DB00435	DOID:0050156						
DB00437	DOID:0050156						
DB00441	DOID:0050156						
DB00442	DOID:0050156						
DB00443	DOID:0050156						
DB00444	DOID:0050156						
DB00445	DOID:0050156						
DB00449	DOID:0050156						
DB00451	DOID:0050156						
DB00455	DOID:0050156						
DB00457	DOID:0050156						
DB00458	DOID:0050156						
DB00471	DOID:0050156						
DB00472	DOID:0050156						
DB00475	DOID:0050156						
DB00476	DOID:0050156						
DB00477	DOID:0050156						
DB00480	DOID:0050156						
DB00481	DOID:0050156						
DB00482	DOID:0050156						
DB00484	DOID:0050156						
DB00490	DOID:0050156						
DB00491	DOID:0050156						
DB00494	DOID:0050156						
DB00499	DOID:0050156						
DB00500	DOID:0050156						
DB00501	DOID:0050156						
DB00502	DOID:0050156						
DB00503	DOID:0050156						
DB00509	DOID:0050156						
DB00513	DOID:0050156						
DB00514	DOID:0050156						
DB00515	DOID:0050156						
DB00519	DOID:0050156						
DB00521	DOID:0050156						
DB00523	DOID:0050156						
DB00524	DOID:0050156						
DB00530	DOID:0050156						
DB00535	DOID:0050156						
DB00537	DOID:0050156						
DB00539	DOID:0050156						
DB00540	DOID:0050156						
DB00541	DOID:0050156						
DB00542	DOID:0050156						
DB00544	DOID:0050156						
DB00549	DOID:0050156						
DB00550	DOID:0050156						
DB00552	DOID:0050156						
DB00553	DOID:0050156						
DB00554	DOID:0050156						
DB00555	DOID:0050156						
DB00559	DOID:0050156						
DB00563	DOID:0050156						
DB00564	DOID:0050156						
DB00567	DOID:0050156						
DB00570	DOID:0050156						
DB00571	DOID:0050156						
DB00572	DOID:0050156						
DB00573	DOID:0050156						
DB00575	DOID:0050156						
DB00583	DOID:0050156						
DB00586	DOID:0050156						
DB00590	DOID:0050156						
DB00591	DOID:0050156						
DB00594	DOID:0050156						
DB00600	DOID:0050156						
DB00603	DOID:0050156						
DB00605	DOID:0050156						
DB00615	DOID:0050156						
DB00619	DOID:0050156						
DB00620	DOID:0050156						
DB00621	DOID:0050156						
DB00622	DOID:0050156						
DB00624	DOID:0050156						
DB00627	DOID:0050156						
DB00629	DOID:0050156						
DB00630	DOID:0050156						
DB00631	DOID:0050156						
DB00635	DOID:0050156						
DB00641	DOID:0050156						
DB00642	DOID:0050156						
DB00649	DOID:0050156						
DB00650	DOID:0050156						
DB00651	DOID:0050156						
DB00653	DOID:0050156						
DB00654	DOID:0050156						
DB00655	DOID:0050156						
DB00656	DOID:0050156						
DB00657	DOID:0050156						
DB00659	DOID:0050156						
DB00661	DOID:0050156						
DB00665	DOID:0050156						
DB00668	DOID:0050156						
DB00669	DOID:0050156						
DB00672	DOID:0050156						
