category	chemical_id	chemical_name	dise_type	disease_id	disease_name	piece
	DB00035			ORPHA:100050		
	DB00035			ORPHA:100051		
	DB00035			ORPHA:100054		
	DB00035			ORPHA:100093		
	DB00035			ORPHA:1001		
	DB00035			ORPHA:100976		
	DB00035			ORPHA:1010		
	DB00035			ORPHA:101041		
	DB00035			ORPHA:103908		
	DB00035			ORPHA:1187		
	DB00035			ORPHA:119		
	DB00035			ORPHA:1226		
	DB00035			ORPHA:124		
	DB00035			ORPHA:1263		
	DB00035			ORPHA:13		
	DB00035			ORPHA:133		
	DB00035			ORPHA:1331		
	DB00035			ORPHA:1334		
	DB00035			ORPHA:137754		
	DB00035			ORPHA:14		
	DB00035			ORPHA:140		
	DB00035			ORPHA:140905		
	DB00035			ORPHA:140922		
	DB00035			ORPHA:140966		
	DB00035			ORPHA:1422		
	DB00035			ORPHA:146		
	DB00035			ORPHA:1465		
	DB00035			ORPHA:1466		
	DB00035			ORPHA:147		
	DB00035			ORPHA:1479		
	DB00035			ORPHA:1507		
	DB00035			ORPHA:1520		
	DB00035			ORPHA:157941		
	DB00035			ORPHA:1587		
	DB00035			ORPHA:158775		
	DB00035			ORPHA:158778		
	DB00035			ORPHA:158793		
	DB00035			ORPHA:1596		
	DB00035			ORPHA:1606		
	DB00035			ORPHA:1617		
	DB00035			ORPHA:1620		
	DB00035			ORPHA:1627		
	DB00035			ORPHA:163596		
	DB00035			ORPHA:163693		
	DB00035			ORPHA:163699		
	DB00035			ORPHA:1658		
	DB00035			ORPHA:165991		
DM	DB00035	Desmopressin	rare_genetic	ORPHA:166078	Von Willebrand disease type 1	0.0
DM	DB00035	Desmopressin	rare_genetic	ORPHA:166084	Von Willebrand disease type 2A	4.0
DM	DB00035	Desmopressin	rare_genetic	ORPHA:166087	Von Willebrand disease type 2B	2.0
DM	DB00035	Desmopressin	rare_genetic	ORPHA:166090	Von Willebrand disease type 2M	2.0
DM	DB00035	Desmopressin	rare_genetic	ORPHA:166093	Von Willebrand disease type 2N	2.0
DM	DB00035	Desmopressin	rare_genetic	ORPHA:166096	Von Willebrand disease type 3	1.0
	DB00035			ORPHA:1662		
	DB00035			ORPHA:1675		
	DB00035			ORPHA:168947		
	DB00035			ORPHA:168950		
	DB00035			ORPHA:169095		
	DB00035			ORPHA:169147		
	DB00035			ORPHA:169150		
	DB00035			ORPHA:169464		
	DB00035			ORPHA:169467		
	DB00035			ORPHA:169615		
DM	DB00035	Desmopressin	rare_genetic	ORPHA:169802	Severe hemophilia A	2.0
DM	DB00035	Desmopressin	rare_genetic	ORPHA:169805	Moderately severe hemophilia A	2.0
DM	DB00035	Desmopressin	rare_genetic	ORPHA:169808	Mild hemophilia A	2.0
	DB00035			ORPHA:171		
	DB00035			ORPHA:171695		
	DB00035			ORPHA:171706		
	DB00035			ORPHA:171829		
	DB00035			ORPHA:1775		
	DB00035			ORPHA:177901		
	DB00035			ORPHA:177904		
	DB00035			ORPHA:177907		
	DB00035			ORPHA:177910		
DM	DB00035	Desmopressin	rare_genetic	ORPHA:177926	Symptomatic form of hemophilia A in female carriers	1.0
	DB00035			ORPHA:178307		
	DB00035			ORPHA:178345		
	DB00035			ORPHA:178400		
	DB00035			ORPHA:178461		
	DB00035			ORPHA:1807		
	DB00035			ORPHA:186		
	DB00035			ORPHA:1878		
	DB00035			ORPHA:1880		
	DB00035			ORPHA:189		
	DB00035			ORPHA:1930		
	DB00035			ORPHA:199		
	DB00035			ORPHA:199247		
	DB00035			ORPHA:199318		
	DB00035			ORPHA:200418		
	DB00035			ORPHA:200421		
	DB00035			ORPHA:2030		
	DB00035			ORPHA:206546		
	DB00035			ORPHA:206549		
	DB00035			ORPHA:206554		
	DB00035			ORPHA:206559		
	DB00035			ORPHA:206564		
	DB00035			ORPHA:2066		
	DB00035			ORPHA:2073		
	DB00035			ORPHA:2084		
	DB00035			ORPHA:2092		
	DB00035			ORPHA:209905		
	DB00035			ORPHA:209916		
	DB00035			ORPHA:209981		
	DB00035			ORPHA:210159		
	DB00035			ORPHA:2102		
	DB00035			ORPHA:213711		
	DB00035			ORPHA:217335		
	DB00035			ORPHA:218		
	DB00035			ORPHA:219		
	DB00035			ORPHA:2199		
	DB00035			ORPHA:22		
	DB00035			ORPHA:2202		
	DB00035			ORPHA:220295		
	DB00035			ORPHA:2203		
	DB00035			ORPHA:220402		
	DB00035			ORPHA:220465		
	DB00035			ORPHA:2209		
	DB00035			ORPHA:221016		
	DB00035			ORPHA:221043		
	DB00035			ORPHA:221046		
	DB00035			ORPHA:223		
	DB00035			ORPHA:226		
	DB00035			ORPHA:226307		
	DB00035			ORPHA:226316		
	DB00035			ORPHA:227510		
	DB00035			ORPHA:228384		
	DB00035			ORPHA:228402		
	DB00035			ORPHA:2290		
	DB00035			ORPHA:2308		
	DB00035			ORPHA:231108		
	DB00035			ORPHA:231140		
	DB00035			ORPHA:231144		
	DB00035			ORPHA:231214		
	DB00035			ORPHA:231222		
	DB00035			ORPHA:231226		
	DB00035			ORPHA:231401		
	DB00035			ORPHA:231662		
